"post_id","update_date","broker_id","project_id","price","price_unit","price_per_m²","price_per_m²_unit","area","area_unit","bedroom","bathroom"
"1","2025-07-23","187","21","10.65","tỷ đồng","117.03","triệu đồng","91","m²","2","2"
"2","2025-07-23","187","21","17","tỷ đồng","118.88","triệu đồng","143","m²","3","3"
"3","2025-07-23","118","23","15","tỷ đồng","214.29","triệu đồng","70","m²","1","1"
"4","2025-07-23","78","67","9.3","tỷ đồng","145.31","triệu đồng","64","m²","1",NULL
"5","2025-07-23","230","41","5.5","tỷ đồng","100","triệu đồng","55","m²","1","1"
"6","2025-07-23","245","26","8","tỷ đồng","145.46","triệu đồng","55","m²","2","3"
"7","2025-07-23","118","23","25","tỷ đồng","250","triệu đồng","100","m²","2","2"
"8","2025-07-23","130","21","8.58","tỷ đồng","95.33","triệu đồng","90","m²","2","2"
"9","2025-07-23","244","36","10.3","tỷ đồng","137.33","triệu đồng","75","m²","2","2"
"10","2025-07-23","188","80","7","tỷ đồng","78.65","triệu đồng","89","m²","2","2"
"11","2025-07-23","230","79","5","tỷ đồng","78.12","triệu đồng","64","m²","2","2"
"12","2025-07-23","207","41","8.3","tỷ đồng","103.75","triệu đồng","80","m²","2","2"
"13","2025-07-23","230","41","6.8","tỷ đồng","89.47","triệu đồng","76","m²","2","2"
"14","2025-07-23","86","35","10.96","tỷ đồng","143.51","triệu đồng","76.4","m²","2","2"
"15","2025-07-23","86","35","11.53","tỷ đồng","150.97","triệu đồng","76.4","m²","2","2"
"16","2025-07-23","230","35","9.8","tỷ đồng","146.27","triệu đồng","67","m²","2","2"
"17","2025-07-23","106","36","14","tỷ đồng","145.83","triệu đồng","96","m²","3","2"
"18","2025-07-23","118","23","40","tỷ đồng","266.67","triệu đồng","150","m²","3","3"
"19","2025-07-23","78","67","20.5","tỷ đồng","146.43","triệu đồng","140","m²",NULL,NULL
"20","2025-07-23","86","35","16.52","tỷ đồng","127.28","triệu đồng","129.8","m²","3","2"
"21","2025-07-23","86","35","13.59","tỷ đồng","131.41","triệu đồng","103.4","m²","3","2"
"22","2025-07-23","157","21","14","tỷ đồng","97.9","triệu đồng","143","m²","3","3"
"23","2025-07-23","99","41","10","tỷ đồng","93.46","triệu đồng","107","m²","3","3"
"24","2025-07-23","72","53","25","tỷ đồng","196.85","triệu đồng","127","m²","3","2"
"25","2025-07-23","230","35","24.5","tỷ đồng","173.02","triệu đồng","141.6","m²","4","3"
"26","2025-07-23","118","23","70","tỷ đồng","318.18","triệu đồng","220","m²","4","4"
"27","2025-07-23","11","35","26.2","tỷ đồng","173.51","triệu đồng","151","m²","4","3"
"28","2025-07-23","59","35","26.2","tỷ đồng","172.82","triệu đồng","151.6","m²","4","4"
"29","2025-07-23","142","64","68.6","tỷ đồng","383.24","triệu đồng","179","m²","4","3"
"30","2025-07-23","11","76","43","tỷ đồng","237.44","triệu đồng","181.1","m²","4","3"
"31","2025-07-23","230","26","22","tỷ đồng","100.46","triệu đồng","219","m²","5","5"
"32","2025-07-23","230","67","14","tỷ đồng","148.94","triệu đồng","94","m²","2","2"
"33","2025-07-23","236","21","8.9","tỷ đồng","98.89","triệu đồng","90","m²","2","2"
"34","2025-07-23","230","24","26","tỷ đồng","175.68","triệu đồng","148","m²","3","2"
"35","2025-07-23","85","34","4.69","tỷ đồng","64.25","triệu đồng","73","m²","2","2"
"36","2025-07-23","16","59","10","tỷ đồng","200","triệu đồng","50","m²","1","1"
"37","2025-07-23","86","35","7.82","tỷ đồng","161.63","triệu đồng","48.4","m²","1","1"
"38","2025-07-23","248","59","10.5","tỷ đồng","210","triệu đồng","50","m²","1","1"
"39","2025-07-23","193","59","11.7","tỷ đồng","234","triệu đồng","50","m²","1","1"
"40","2025-07-23","224","67","9.5","tỷ đồng","148.44","triệu đồng","64","m²","1","1"
"41","2025-07-23","243","36","10.4","tỷ đồng","150.71","triệu đồng","69","m²","2","2"
